Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,4e-06,21.164895,[19 79] ; [18 10],[28.77777778 69.22222222] ; [ 8.22222222 19.77777778],1
p1,1,0.000226,13.60429,[ 2 95] ; [ 6 22],[ 6.208 90.792] ; [ 1.792 26.208],1
p6,1,0.000858,11.112245,[ 6 92] ; [ 8 20],[10.88888889 87.11111111] ; [ 3.11111111 24.88888889],1
p2,1,0.038087,4.301111,[52 46] ; [21  7],[56.77777778 41.22222222] ; [16.22222222 11.77777778],0
s2,1,0.060961,3.511053,[33 64] ; [15 13],[37.248 59.752] ; [10.752 17.248],0
a6,1,0.066838,3.359007,[61 37] ; [12 16],[56.77777778 41.22222222] ; [16.22222222 11.77777778],0
u3,1,0.070964,3.260584,[21 17] ; [13  3],[23.92592593 14.07407407] ; [10.07407407  5.92592593],0
b1,1,0.073638,3.2,[31 67] ; [14 14],[35. 63.] ; [10. 18.],0
a3,1,0.083265,3.0,[60 38] ; [12 16],[56. 42.] ; [16. 12.],0
s8,1,0.121652,2.395925,[21 77] ; [10 18],[24.11111111 73.88888889] ; [ 6.88888889 21.11111111],0
n4,1,0.17146,1.87013,[35 63] ; [14 14],[38.11111111 59.88888889] ; [10.88888889 17.11111111],0
n6,1,0.181042,1.789047,[56 42] ; [12 16],[52.88888889 45.11111111] ; [15.11111111 12.88888889],0
s6,1,0.197507,1.660714,[45 51] ; [17 11],[48. 48.] ; [14. 14.],0
v1,1,0.274411,1.194564,[37 60] ; [13 13],[39.43089431 57.56910569] ; [10.56910569 15.43089431],0
p11,1,0.315106,1.009153,[56 42] ; [13 15],[53.66666667 44.33333333] ; [15.33333333 12.66666667],0
s1,1,0.329194,0.952066,[ 3 95] ; [ 2 26],[ 3.88888889 94.11111111] ; [ 1.11111111 26.88888889],0
a5,1,0.336978,0.921895,[53 45] ; [18 10],[55.22222222 42.77777778] ; [15.77777778 12.22222222],0
s5,1,0.34617,0.887447,[21 71] ; [ 8 17],[22.8034188 69.1965812] ; [ 6.1965812 18.8034188],0
p10,1,0.371672,0.798067,[52 44] ; [12 15],[49.95121951 46.04878049] ; [14.04878049 12.95121951],0
a2,1,0.377638,0.778378,[13 85] ; [ 2 26],[11.66666667 86.33333333] ; [ 3.33333333 24.66666667],0
a7,1,0.402896,0.699666,[71 27] ; [18 10],[69.22222222 28.77777778] ; [19.77777778  8.22222222],0
d3,1,0.428794,0.626087,[64 34] ; [16 12],[62.22222222 35.77777778] ; [17.77777778 10.22222222],0
n1,1,0.429195,0.625,[11 25] ; [4 5],[12. 24.] ; [3. 6.],0
v2,1,0.429277,0.624778,[48 46] ; [11 15],[46.21666667 47.78333333] ; [12.78333333 13.21666667],0
r2,1,0.43062,0.62115,[84 12] ; [26  2],[85.16129032 10.83870968] ; [24.83870968  3.16129032],0
v4,1,0.452944,0.563274,[81 16] ; [25  3],[82.256 14.744] ; [23.744  4.256],0
b5,1,0.466854,0.529412,[60 38] ; [15 13],[58.33333333 39.66666667] ; [16.66666667 11.33333333],0
s3,1,0.491486,0.473272,[38 59] ; [13 15],[39.576 57.424] ; [11.424 16.576],0
u2,1,0.510073,0.433918,[24 14] ; [8 7],[22.94339623 15.05660377] ; [9.05660377 5.94339623],0
a8,1,0.576711,0.311582,[ 6 85] ; [ 1 26],[ 5.39830508 85.60169492] ; [ 1.60169492 25.39830508],0
r4,1,0.580391,0.305603,[75 23] ; [20  8],[73.88888889 24.11111111] ; [21.11111111  6.88888889],0
d2,1,0.586449,0.295924,[37 61] ; [ 9 19],[35.77777778 62.22222222] ; [10.22222222 17.77777778],0
b3,1,0.60348,0.269779,[18 33] ; [6 8],[18.83076923 32.16923077] ; [5.16923077 8.83076923],0
b2,1,0.60348,0.269779,[18 33] ; [6 8],[18.83076923 32.16923077] ; [5.16923077 8.83076923],0
n2,1,0.604259,0.26862,[20 15] ; [6 3],[20.68181818 14.31818182] ; [5.31818182 3.68181818],0
a1,1,0.639412,0.219512,[ 2 96] ; [ 1 27],[ 2.33333333 95.66666667] ; [ 0.66666667 27.33333333],0
s7,1,0.695521,0.153173,[27 66] ; [ 6 18],[26.23076923 66.76923077] ; [ 6.76923077 17.23076923],0
r1,1,0.709547,0.13873,[69 29] ; [20  7],[69.776 28.224] ; [19.224  7.776],0
a4,1,0.729211,0.119837,[35 63] ; [11 17],[35.77777778 62.22222222] ; [10.22222222 17.77777778],0
d1,1,0.738851,0.111139,[49 49] ; [13 15],[48.22222222 49.77777778] ; [13.77777778 14.22222222],0
p9,1,0.74076,0.10946,[59 35] ; [16 11],[58.26446281 35.73553719] ; [16.73553719 10.26446281],0
s4,1,0.765313,0.089109,[20 78] ; [ 5 23],[19.44444444 78.55555556] ; [ 5.55555556 22.44444444],0
b4,1,0.768625,0.086538,[60 38] ; [18 10],[60.66666667 37.33333333] ; [17.33333333 10.66666667],0
n3,1,0.786749,0.073189,[21 13] ; [6 3],[21.34883721 12.65116279] ; [5.65116279 3.34883721],0
r3,1,0.807748,0.059211,[89  9] ; [25  3],[88.66666667  9.33333333] ; [25.33333333  2.66666667],0
p8,1,0.837731,0.041941,[19 78] ; [ 5 23],[18.624 78.376] ; [ 5.376 22.624],0
p5,1,0.899124,0.01607,[ 3 94] ; [ 1 27],[ 3.104 93.896] ; [ 0.896 27.104],0
v3,1,0.934514,0.006751,[25 67] ; [ 7 18],[25.16239316 66.83760684] ; [ 6.83760684 18.16239316],0
d4,1,0.949991,0.003934,[81 17] ; [23  5],[80.88888889 17.11111111] ; [23.11111111  4.88888889],0
d5,1,1.0,0.0,[77 21] ; [22  6],[77. 21.] ; [22.  6.],0
