Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.070645,3.267974,[14  1] ; [3 2],[12.75  2.25] ; [4.25 0.75],0
s3,1,0.090969,2.857143,[ 3 12] ; [3 2],[ 4.5 10.5] ; [1.5 3.5],0
d5,1,0.090969,2.857143,[12  3] ; [2 3],[10.5  4.5] ; [3.5 1.5],0
d4,1,0.090969,2.857143,[12  3] ; [2 3],[10.5  4.5] ; [3.5 1.5],0
b1,1,0.121335,2.4,[6 9] ; [4 1],[7.5 7.5] ; [2.5 2.5],0
a3,1,0.121335,2.4,[9 6] ; [1 4],[7.5 7.5] ; [2.5 2.5],0
d3,1,0.17595,1.831502,[11  4] ; [2 3],[9.75 5.25] ; [3.25 1.75],0
u3,1,0.196706,1.666667,[4 2] ; [1 3],[3. 3.] ; [2. 2.],0
n4,1,0.291841,1.111111,[10  5] ; [2 3],[9. 6.] ; [3. 2.],0
v2,1,0.313267,1.016852,[8 7] ; [1 3],[7.10526316 7.89473684] ; [1.89473684 2.10526316],0
s2,1,0.371093,0.8,[ 3 12] ; [2 3],[ 3.75 11.25] ; [1.25 3.75],0
p7,1,0.371093,0.8,[12  3] ; [3 2],[11.25  3.75] ; [3.75 1.25],0
p11,1,0.389424,0.740741,[14  1] ; [4 1],[13.5  1.5] ; [4.5 0.5],0
b5,1,0.416793,0.659341,[9 6] ; [4 1],[9.75 5.25] ; [3.25 1.75],0
p6,1,0.416793,0.659341,[6 9] ; [1 4],[5.25 9.75] ; [1.75 3.25],0
s8,1,0.416793,0.659341,[6 9] ; [1 4],[5.25 9.75] ; [1.75 3.25],0
s6,1,0.416793,0.659341,[9 6] ; [4 1],[9.75 5.25] ; [3.25 1.75],0
s5,1,0.416793,0.659341,[6 9] ; [1 4],[5.25 9.75] ; [1.75 3.25],0
n5,1,0.416793,0.659341,[9 6] ; [4 1],[9.75 5.25] ; [3.25 1.75],0
a8,1,0.418222,0.655306,[ 3 11] ; [2 3],[ 3.68421053 10.31578947] ; [1.31578947 3.68421053],0
a6,1,0.436275,0.606061,[9 6] ; [2 3],[8.25 6.75] ; [2.75 2.25],0
n6,1,0.573138,0.31746,[11  4] ; [3 2],[10.5  4.5] ; [3.5 1.5],0
a5,1,0.605577,0.266667,[8 7] ; [2 3],[7.5 7.5] ; [2.5 2.5],0
p10,1,0.717688,0.130719,[13  2] ; [4 1],[12.75  2.25] ; [4.25 0.75],0
a4,1,0.765594,0.088889,[ 4 11] ; [1 4],[ 3.75 11.25] ; [1.25 3.75],0
p4,1,0.786648,0.07326,[10  5] ; [3 2],[9.75 5.25] ; [3.25 1.75],0
p5,1,0.786648,0.07326,[ 5 10] ; [2 3],[5.25 9.75] ; [1.75 3.25],0
b4,1,0.79525,0.06734,[8 7] ; [3 2],[8.25 6.75] ; [2.75 2.25],0
r1,1,0.79525,0.06734,[8 7] ; [3 2],[8.25 6.75] ; [2.75 2.25],0
a7,1,1.0,0.0,[9 6] ; [3 2],[9. 6.] ; [3. 2.],0
p3,1,1.0,0.0,[6 9] ; [2 3],[6. 9.] ; [2. 3.],0
v3,1,1.0,0.0,[6 9] ; [2 3],[6. 9.] ; [2. 3.],0
p8,1,1.0,0.0,[9 6] ; [3 2],[9. 6.] ; [3. 2.],0
