Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,143.82206,[242  28] ; [28 74],[195.96774194  74.03225806] ; [74.03225806 27.96774194],1
p11,1,0.0,52.777236,[211  60] ; [41 65],[181.14588859  89.85411141] ; [70.85411141 35.14588859],1
p2,1,0.0,36.124627,[224  44] ; [57 49],[201.35828877  66.64171123] ; [79.64171123 26.35828877],1
n5,1,0.0,29.138475,[219  51] ; [57 49],[198.19148936  71.80851064] ; [77.80851064 28.19148936],1
p8,1,0.0,26.712435,[150 119] ; [27 77],[127.64879357 141.35120643] ; [49.35120643 54.64879357],1
r4,1,0.0,25.347636,[234  37] ; [67 39],[216.36870027  54.63129973] ; [84.63129973 21.36870027],1
s8,1,2e-06,22.79643,[134 136] ; [23 80],[113.6461126 156.3538874] ; [43.3538874 59.6461126],1
p7,1,2e-06,22.359757,[187  78] ; [47 59],[167.14285714  97.85714286] ; [66.85714286 39.14285714],1
n6,1,3e-06,22.035233,[218  51] ; [61 45],[200.136  68.864] ; [78.864 27.136],1
p4,1,5e-06,20.884096,[175  96] ; [41 65],[155.26790451 115.73209549] ; [60.73209549 45.26790451],1
s7,1,8e-06,19.881774,[139 118] ; [26 69],[120.46875 136.53125] ; [44.53125 50.46875],1
a3,1,9e-06,19.77186,[210  60] ; [58 48],[192.44680851  77.55319149] ; [75.55319149 30.44680851],1
r3,1,1.1e-05,19.394291,[248  21] ; [80 26],[235.28533333  33.71466667] ; [92.71466667 13.28533333],1
s2,1,5.4e-05,16.307922,[147 122] ; [33 72],[129.46524064 139.53475936] ; [50.53475936 54.46524064],1
a5,1,7.4e-05,15.693161,[209  62] ; [60 46],[193.36604775  77.63395225] ; [75.63395225 30.36604775],1
r1,1,0.000175,14.082444,[214  56] ; [64 42],[199.62765957  70.37234043] ; [78.37234043 27.62765957],1
v4,1,0.000275,13.233071,[250  19] ; [84 21],[240.22994652  28.77005348] ; [93.77005348 11.22994652],1
s3,1,0.000276,13.225353,[160 107] ; [41 64],[144.26612903 122.73387097] ; [56.73387097 48.26612903],1
p3,1,0.000406,12.505999,[156 113] ; [40 66],[140.59733333 128.40266667] ; [55.40266667 50.59733333],1
v1,1,0.000634,11.67468,[144 120] ; [37 69],[129.14594595 134.85405405] ; [51.85405405 54.14594595],1
s6,1,0.000812,11.213468,[175  88] ; [49 54],[160.96174863 102.03825137] ; [63.03825137 39.96174863],1
s5,1,0.002047,9.506472,[ 96 166] ; [20 81],[ 83.72451791 178.27548209] ; [32.27548209 68.72451791],0
p6,1,0.002434,9.189481,[110 157] ; [25 78],[ 97.41891892 169.58108108] ; [37.58108108 65.41891892],0
n4,1,0.002985,8.816809,[216  55] ; [69 37],[204.86737401  66.13262599] ; [80.13262599 25.86737401],0
