Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,106.468238,[242  28] ; [43 67],[202.5  67.5] ; [82.5 27.5],1
p3,1,0.0,34.470167,[156 113] ; [28 84],[129.91076115 139.08923885] ; [54.08923885 57.91076115],1
p7,1,0.0,29.846034,[187  78] ; [45 66],[163.5106383 101.4893617] ; [68.4893617 42.5106383],1
n5,1,0.0,27.623592,[219  51] ; [61 50],[198.42519685  71.57480315] ; [81.57480315 29.42519685],1
p4,1,1e-06,25.208924,[175  96] ; [41 71],[152.83550914 118.16449086] ; [63.16449086 48.83550914],1
s8,1,1e-06,24.82232,[134 136] ; [25 88],[112.08877285 157.91122715] ; [46.91122715 66.08877285],1
p11,1,1.3e-05,19.068546,[211  60] ; [63 50],[193.36979167  77.63020833] ; [80.63020833 32.36979167],1
p8,1,1.7e-05,18.466265,[150 119] ; [35 76],[130.96052632 138.03947368] ; [54.03947368 56.96052632],1
s6,1,2.7e-05,17.629838,[175  88] ; [49 64],[156.68085106 106.31914894] ; [67.31914894 45.68085106],1
s2,1,4.1e-05,16.823706,[147 122] ; [35 76],[128.83684211 140.16315789] ; [53.16315789 57.83684211],1
n4,1,4.4e-05,16.701542,[216  55] ; [66 45],[200.05759162  70.94240838] ; [81.94240838 29.05759162],1
s7,1,9.1e-05,15.318815,[139 118] ; [35 75],[121.84741144 135.15258856] ; [52.15258856 57.84741144],1
p2,1,9.3e-05,15.274904,[224  44] ; [74 39],[209.6167979  58.3832021] ; [88.3832021 24.6167979],1
p6,1,0.000178,14.045678,[110 157] ; [23 87],[ 94.19363395 172.80636605] ; [38.80636605 71.19363395],1
a5,1,0.00021,13.739949,[209  62] ; [66 47],[194.07552083  76.92447917] ; [80.92447917 32.07552083],1
s5,1,0.000878,11.068291,[ 96 166] ; [21 89],[ 82.40322581 179.59677419] ; [34.59677419 75.40322581],1
v1,1,0.001352,10.270023,[144 120] ; [40 70],[129.88235294 134.11764706] ; [54.11764706 55.88235294],0
u3,1,0.001429,10.168135,[40 20] ; [15 28],[32.03883495 27.96116505] ; [22.96116505 20.03883495],0
