Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,104.0302,[167 323] ; [78  5],[209.5113438 280.4886562] ; [35.4886562 47.5113438],1
p8,1,0.0,67.968212,[167 318] ; [68 14],[201.01410935 283.98589065] ; [33.98589065 48.01410935],1
p1,1,0.0,67.108225,[ 22 471] ; [26 57],[ 41.08333333 451.91666667] ; [ 6.91666667 76.08333333],1
p6,1,0.0,66.789887,[109 379] ; [54 27],[139.79613357 348.20386643] ; [23.20386643 57.79613357],1
p12,1,0.0,64.428902,[ 19 473] ; [24 59],[ 36.79304348 455.20695652] ; [ 6.20695652 76.79304348],1
p7,1,0.0,40.079692,[221 256] ; [69 13],[247.45974955 229.54025045] ; [42.54025045 39.45974955],1
p9,1,6e-05,16.093661,[354 127] ; [77  5],[368.22557726 112.77442274] ; [62.77442274 19.22557726],1
p10,1,7.3e-05,15.73963,[336 151] ; [74  8],[350.91388401 136.08611599] ; [59.08611599 22.91388401],1
p2,1,0.000107,15.010828,[362 133] ; [77  6],[375.96020761 119.03979239] ; [63.03979239 19.96020761],1
p11,1,0.000654,11.616892,[346 149] ; [73 10],[358.83217993 136.16782007] ; [60.16782007 22.83217993],1
b1,1,0.191896,1.703002,[172 323] ; [35 48],[177.27508651 317.72491349] ; [29.72491349 53.27508651],0
