Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,339.91609,[32 83] ; [600  31],[97.42627346 17.57372654] ; [534.57372654  96.42627346],1
p2,1,0.0,99.924916,[57 61] ; [550  79],[95.88487282 22.11512718] ; [511.11512718 117.88487282],1
r3,1,0.0,91.511575,[85 32] ; [609  19],[108.99060403   8.00939597] ; [585.00939597  42.99060403],1
r4,1,0.0,79.726103,[72 46] ; [578  54],[102.26666667  15.73333333] ; [547.73333333  84.26666667],1
n6,1,0.0,76.001232,[64 52] ; [554  74],[96.35483871 19.64516129] ; [521.64516129 106.35483871],1
v4,1,0.0,68.156621,[87 29] ; [602  23],[107.85964912   8.14035088] ; [581.14035088  43.85964912],1
p8,1,0.0,46.559063,[29 87] ; [370 253],[62.63058187 53.36941813] ; [336.36941813 286.63058187],1
p7,1,0.0,46.401626,[42 75] ; [424 191],[74.48360656 42.51639344] ; [391.51639344 223.48360656],1
s8,1,0.0,35.80805,[20 96] ; [296 332],[49.2688172 66.7311828] ; [266.7311828 361.2688172],1
n5,1,0.0,33.038003,[65 51] ; [506 122],[89.02688172 26.97311828] ; [481.97311828 146.02688172],1
p4,1,0.0,30.302938,[44 73] ; [407 222],[70.73324397 46.26675603] ; [380.26675603 248.73324397],1
s6,1,0.0,25.36721,[52 64] ; [427 191],[75.70027248 40.29972752] ; [403.29972752 214.70027248],1
r1,1,1e-06,24.809005,[69 47] ; [506 122],[89.65053763 26.34946237] ; [485.34946237 142.65053763],1
n4,1,1e-06,24.270132,[69 47] ; [508 124],[89.48128342 26.51871658] ; [487.51871658 144.48128342],1
v2,1,1e-06,23.160064,[40 75] ; [356 246],[63.51464435 51.48535565] ; [332.48535565 269.51464435],1
b1,1,2e-06,22.218606,[68 50] ; [219 413],[45.15466667 72.84533333] ; [241.84533333 390.15466667],1
r2,1,2e-06,22.193679,[94 21] ; [589  35],[106.28552097   8.71447903] ; [576.71447903  47.28552097],1
v1,1,2e-06,22.178772,[39 78] ; [348 262],[62.28198074 54.71801926] ; [324.71801926 285.28198074],1
s5,1,2.2e-05,17.985091,[17 97] ; [214 396],[36.37292818 77.62707182] ; [194.62707182 415.37292818],1
p6,1,2.4e-05,17.828042,[20 94] ; [237 386],[39.75305292 74.24694708] ; [217.24694708 405.75305292],1
s2,1,3.5e-05,17.151435,[37 80] ; [328 297],[57.55390836 59.44609164] ; [307.44609164 317.55390836],1
s7,1,3.7e-05,17.021193,[32 76] ; [311 297],[51.73743017 56.26256983] ; [291.26256983 316.73743017],1
p3,1,0.000101,15.115932,[41 76] ; [344 286],[60.30120482 56.69879518] ; [324.69879518 305.30120482],1
a5,1,0.000225,13.609586,[71 47] ; [483 149],[87.16266667 30.83733333] ; [466.83733333 165.16266667],1
