Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,314.110068,[32 75] ; [693  45],[91.80473373 15.19526627] ; [633.19526627 104.80473373],1
p11,1,0.0,111.582482,[43 68] ; [618 122],[86.2173913 24.7826087] ; [574.7826087 165.2173913],1
p2,1,0.0,66.029862,[59 52] ; [629 107],[90.16292798 20.83707202] ; [597.83707202 138.16292798],1
r4,1,0.0,51.06,[72 39] ; [664  76],[96. 15.] ; [640. 100.],1
n6,1,0.0,50.636805,[65 46] ; [632 102],[91.55857988 19.44142012] ; [605.44142012 128.55857988],1
r3,1,0.0,48.828459,[85 26] ; [700  36],[102.87485242   8.12514758] ; [682.12514758  53.87485242],1
v4,1,0.0,37.747127,[88 22] ; [701  33],[102.83175355   7.16824645] ; [686.16824645  47.83175355],1
p8,1,0.0,29.531382,[30 79] ; [405 326],[56.44642857 52.55357143] ; [378.55357143 352.44642857],1
n5,1,0.0,26.371189,[61 50] ; [571 164],[82.92198582 28.07801418] ; [549.07801418 185.92198582],1
r2,1,1e-06,24.572321,[89 21] ; [689  42],[101.75980975   8.24019025] ; [676.24019025  54.75980975],1
p7,1,3e-06,21.865616,[48 62] ; [480 240],[69.97590361 40.02409639] ; [458.02409639 261.97590361],1
p4,1,1.1e-05,19.348855,[44 67] ; [454 282],[65.26328217 45.73671783] ; [432.73671783 303.26328217],1
s8,1,1.5e-05,18.765807,[26 82] ; [340 396],[46.83412322 61.16587678] ; [319.16587678 416.83412322],1
a7,1,1.9e-05,18.316211,[59 52] ; [539 199],[78.18374558 32.81625442] ; [519.81625442 218.18374558],1
r1,1,2.4e-05,17.83045,[69 42] ; [590 147],[86.26061321 24.73938679] ; [572.73938679 164.26061321],1
s6,1,7e-05,15.814694,[53 55] ; [496 228],[71.26442308 36.73557692] ; [477.73557692 246.26442308],1
s7,1,9.9e-05,15.148577,[30 70] ; [359 348],[48.20322181 51.79677819] ; [340.79677819 366.20322181],1
v2,1,0.000148,14.398367,[41 67] ; [408 302],[59.28117359 48.71882641] ; [389.71882641 320.28117359],1
v1,1,0.000177,14.059923,[40 71] ; [398 324],[58.36494598 52.63505402] ; [379.63505402 342.36494598],1
a6,1,0.00018,14.025217,[55 55] ; [503 235],[72.38207547 37.61792453] ; [485.61792453 252.38207547],1
s2,1,0.000188,13.943011,[37 73] ; [387 347],[55.26066351 54.73933649] ; [368.73933649 365.26066351],1
a5,1,0.000227,13.595928,[64 47] ; [551 189],[80.2173913 30.7826087] ; [534.7826087 205.2173913],1
a3,1,0.000317,12.966844,[61 50] ; [530 208],[77.26855124 33.73144876] ; [513.73144876 224.26855124],1
s5,1,0.000443,12.342212,[20 86] ; [258 455],[35.98046398 70.01953602] ; [242.01953602 470.98046398],1
d3,1,0.000606,11.756917,[58 52] ; [510 227],[73.76623377 36.23376623] ; [494.23376623 242.76623377],1
d1,1,0.001704,9.843957,[48 63] ; [437 303],[63.26086957 47.73913043] ; [421.73913043 318.26086957],0
s3,1,0.002185,9.386937,[45 65] ; [412 317],[59.91656734 50.08343266] ; [397.08343266 331.91656734],0
d5,1,0.002346,9.256704,[76 34] ; [601 136],[87.92207792 22.07792208] ; [589.07792208 147.92207792],0
p3,1,0.007025,7.266636,[42 69] ; [380 357],[55.23820755 55.76179245] ; [366.76179245 370.23820755],0
