Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,314.110068,[693  45] ; [32 75],[633.19526627 104.80473373] ; [91.80473373 15.19526627],1
p11,1,0.0,111.582482,[618 122] ; [43 68],[574.7826087 165.2173913] ; [86.2173913 24.7826087],1
p2,1,0.0,66.029862,[629 107] ; [59 52],[597.83707202 138.16292798] ; [90.16292798 20.83707202],1
r4,1,0.0,51.06,[664  76] ; [72 39],[640. 100.] ; [96. 15.],1
n6,1,0.0,50.636805,[632 102] ; [65 46],[605.44142012 128.55857988] ; [91.55857988 19.44142012],1
r3,1,0.0,48.828459,[700  36] ; [85 26],[682.12514758  53.87485242] ; [102.87485242   8.12514758],1
v4,1,0.0,37.747127,[701  33] ; [88 22],[686.16824645  47.83175355] ; [102.83175355   7.16824645],1
p8,1,0.0,29.531382,[405 326] ; [30 79],[378.55357143 352.44642857] ; [56.44642857 52.55357143],1
n5,1,0.0,26.371189,[571 164] ; [61 50],[549.07801418 185.92198582] ; [82.92198582 28.07801418],1
r2,1,1e-06,24.572321,[689  42] ; [89 21],[676.24019025  54.75980975] ; [101.75980975   8.24019025],1
p7,1,3e-06,21.865616,[480 240] ; [48 62],[458.02409639 261.97590361] ; [69.97590361 40.02409639],1
p4,1,1.1e-05,19.348855,[454 282] ; [44 67],[432.73671783 303.26328217] ; [65.26328217 45.73671783],1
s8,1,1.5e-05,18.765807,[340 396] ; [26 82],[319.16587678 416.83412322] ; [46.83412322 61.16587678],1
a7,1,1.9e-05,18.316211,[539 199] ; [59 52],[519.81625442 218.18374558] ; [78.18374558 32.81625442],1
r1,1,2.4e-05,17.83045,[590 147] ; [69 42],[572.73938679 164.26061321] ; [86.26061321 24.73938679],1
s6,1,7e-05,15.814694,[496 228] ; [53 55],[477.73557692 246.26442308] ; [71.26442308 36.73557692],1
s7,1,9.9e-05,15.148577,[359 348] ; [30 70],[340.79677819 366.20322181] ; [48.20322181 51.79677819],1
